"title","type","event","date","url","abstract","block","category","short_location"
"Decoupling for Cantor sets","Conference","Harmonic Analysis and Fractal Sets Conference (HAFS, Columbus OH)","2023-03-01","https://alexiosevich.com/hafs2023poster.pdf","In this talk we discuss sharp ℓ2L2n estimates for Cantor sets. These estimates are related to the work of Biggs bounding the number of solutions to a certain type of Diophantine equations for integers contained in Ellipsephic sets, sets of numbers missing certain digits in base p. We discuss the connection between both problems, and exploit it to find computational methods to find sharp decoupling estimates. Joint work with A. Chang, R. Greenfeld, A. Jamneshan, Z.K. Li and J. Madrid.","Decoupling for Cantor sets","research","HAFS, Columbus OH"
"Lower bounds for strongly Log-concave Sampling","Seminar","NYU Courant Analysis Seminar","2023-03-01","","Log-concave sampling has witnessed remarkable algorithmic advances in recent years, but the corresponding problem of proving lower bounds for this task has remained elusive, with lower bounds previously known only in dimension one. In this talk, I will establish query lower bounds for sampling from strongly log-concave and log-smooth distributions in dimension $d\ge 2$, showing that it requires $\Omega(\log \kappa)$ queries, which is sharp in any constant dimension. Based on joint work with Sinho Chewi, Jerry Li, Chen Lu, and Shyam Narayanan","Sampling lower bounds","research","NYU Courant"
"Lower bounds for strongly Log-concave Sampling","Seminar","Microsoft Research Theory Seminar","2022-12-07","","Log-concave sampling has witnessed remarkable algorithmic advances in recent years, but the corresponding problem of proving lower bounds for this task has remained elusive, with lower bounds previously known only in dimension one. In this talk, I will establish query lower bounds for sampling from strongly log-concave and log-smooth distributions in dimension $d\ge 2$, showing that it requires $\Omega(\log \kappa)$ queries, which is sharp in any constant dimension. Based on joint work with Sinho Chewi, Jerry Li, Chen Lu, and Shyam Narayanan","Sampling lower bounds","research","Microsoft Research"
"Lower bounds for strongly Log-concave Sampling","Seminar","NYU MaD Group Meeting","2022-12-12","","Log-concave sampling has witnessed remarkable algorithmic advances in recent years, but the corresponding problem of proving lower bounds for this task has remained elusive, with lower bounds previously known only in dimension one. In this talk, I will establish query lower bounds for sampling from strongly log-concave and log-smooth distributions in dimension $d\ge 2$, showing that it requires $\Omega(\log \kappa)$ queries, which is sharp in any constant dimension. Based on joint work with Sinho Chewi, Jerry Li, Chen Lu, and Shyam Narayanan","Sampling lower bounds","research","NYU"
"Uniform boundedness for certain operators parametrized by polynomial curves","Seminar","UW Madison Analysis Seminar","2022-11-29","","Decoupling and discrete restriction inequalities have been very fruitful in recent years to solve problems in additive combinatorics and analytic number theory. In this talk I will present some work in decoupling for Cantor sets, including Cantor sets on a parabola, decoupling  for product sets, and give applications of these results to additive combinatorics. Time permitting,  I will present some open problems.
Based on joint work with Alan Chang, Rachel Greenfeld, Asgar Jamneshan, José Madrid, Zane Li and Paata Ivanisvili","Uniform boundedness (polynomial curves)","research","UW Madison"
"Localization of eigenfunctions via an effective potential","Reading group","Kopp Summer School Reading Group (Bonn)","2022-10-06","","","Expository","","Kopp, Bonn"
"On Rank Vs. Communication Complexity","Workshop","AIM Workshop: Analysis on the Hypercube with Applications to Quantum Computing","2022-06-06","https://aimath.org/pastworkshops/hypercubequantum.html","","Expository","","AIM"
"Decoupling, Cantor sets, and additive combinatorics","Seminar","University of Minnesota PDE Seminar","2022-09-15","","Decoupling and discrete restriction inequalities have been very fruitful in recent years to solve problems in additive combinatorics and analytic number theory. In this talk I will present some work in decoupling for Cantor sets, including Cantor sets on a parabola, decoupling for product sets, and give applications of these results to additive combinatorics. Time permitting, I will present some open problems. Based on joint work with Alan Chang, Rachel Greenfeld, Asgar Jamneshan, José Madrid, Zane Li and Paata Ivanisvili","Decoupling & additive combinatorics","research","U. Minnesota"
"Uniform boundedness for certain operators parametrized by polynomial curves","Seminar","Harmonic Analysis on Manifolds Summer School (UW Madison)","2022-08-03","https://sites.google.com/view/2022summerschool/main-page","Decoupling and discrete restriction inequalities have been very fruitful in recent years to solve problems in additive combinatorics and analytic number theory. In this talk I will present some work in decoupling for Cantor sets, including Cantor sets on a parabola, decoupling  for product sets, and give applications of these results to additive combinatorics. Time permitting,  I will present some open problems.
Based on joint work with Alan Chang, Rachel Greenfeld, Asgar Jamneshan, José Madrid, Zane Li and Paata Ivanisvili","Uniform boundedness (polynomial curves)","research","UW Madison"
"Decoupling, Cantor sets, and additive combinatorics","Seminar","Bilbao Analysis and PDE Seminar (BCAM)","2022-03-09","https://sites.google.com/site/khughesmath/home/university-of-bristol-analysis-and-geometry","Decoupling and discrete restriction inequalities have been very fruitful in recent years to solve problems in additive combinatorics and analytic number theory. In this talk I will present some work in decoupling for Cantor sets, including Cantor sets on a parabola, decoupling for product sets, and give applications of these results to additive combinatorics. Time permitting, I will present some open problems. Based on joint work with Alan Chang, Rachel Greenfeld, Asgar Jamneshan, José Madrid, Zane Li and Paata Ivanisvili","Decoupling & additive combinatorics","research","BCAM, Bilbao"
